# BEAST v1.8.4
# Generated Fri Mar 27 11:06:17 CST 2026 [seed=1774580776976]
# -overwrite -beagle_off D:\naturedna\evoflux-reproduce\figures\reproduced\pisca_zenodo_fig4\fig4b_case19_zenodo.xml
state	posterior	prior	likelihood	biallelicBinary.demethylation	biallelicBinary.homozygousDemethylation	biallelicBinary.homozygousMethylation	treeModel.rootHeight	luca_height	luca_branch	constant.popSize	clock.rate	coalescent
125000	-2357.751147075123	-16.26886776663491	-2341.482279308488	0.9694673486000093	1.4663186299072404	0.9078102515091014	14.649385621740473	89.167009	74.51762337825951	5.539001528465249	0.013284617507344307	-9.213848571372166
130000	-2352.575501951718	-14.901740477382283	-2337.6737614743356	0.8666314249860599	1.0679102769072177	0.8441174561585141	14.606138199116824	89.167009	74.56087080088317	2.7327694527961626	0.013871668737294621	-9.443915021259256
135000	-2355.961271934366	-18.1551361148775	-2337.806135819488	0.8353913229533843	1.2536832929996509	0.8722229189171006	14.516550262572153	89.167009	74.65045873742784	11.159743264921323	0.015615554455873641	-10.971328859591743
140000	-2354.64901736055	-15.181835816301142	-2339.467181544249	0.7022894698389724	1.1053768885086153	0.7487450151816821	14.50422098011803	89.167009	74.66278801988196	5.043361870579227	0.016755291111560478	-9.297611124163598
145000	-2355.3137407257173	-16.76446725593087	-2338.5492734697864	0.8216011336352268	1.0437809757282186	0.7770289271874682	14.383000456228105	89.167009	74.78400854377189	9.127293345703361	0.016507977910583015	-10.243578654185463
150000	-2352.823742773484	-15.216678409178598	-2337.607064364305	1.1049564904954927	1.1641005925419887	1.0044322928189835	14.486913334969739	89.167009	74.68009566503025	3.7251948618616737	0.01459317718140893	-8.715885381621218
155000	-2355.147305297476	-16.09194440086218	-2339.055360896614	1.2053712742500007	1.3682375887110838	1.0356423221798767	14.74647668927903	89.167009	74.42053231072096	3.430409776832749	0.014472045078540913	-9.115269624582488
160000	-2352.7832842904927	-14.777919016327687	-2338.005365274165	0.9955442830589717	1.1169549695032137	0.9517992185692813	14.590205455349368	89.167009	74.57680354465063	2.3302733658946693	0.015917686225819874	-9.05816785366477
165000	-2364.3929428549036	-20.06145794644315	-2344.3314849084604	1.1790697672904906	1.5007911238360847	0.9874606979006656	14.74316635607355	89.167009	74.42384264392645	14.5425192490962	0.014211512711152605	-11.528594467480131
170000	-2355.034378455297	-17.653184128205595	-2337.381194327091	0.8894584317045445	1.2638995638454837	0.8694694567837881	14.484961777548845	89.167009	74.68204722245115	9.441358801419906	0.01491849381340983	-10.561275846188156
175000	-2350.7542697601803	-15.310928813939366	-2335.443340946241	0.8896800266020854	1.1584067554110935	0.8606575928636793	14.381038324909774	89.167009	74.78597067509023	4.488457559283328	0.0151847379469219	-9.147814139875251
180000	-2352.985183109268	-17.51096723819064	-2335.4742158710774	1.0153544056640562	1.2213154579747407	0.8885530637213968	14.368751896145602	89.167009	74.7982571038544	8.84328469728665	0.014743716352499716	-10.353640963436863
185000	-2355.923450200605	-16.482038533984735	-2339.4414116666203	1.1282678508564754	1.2213154579747407	0.9570169902366242	14.450562575235821	89.167009	74.71644642476417	6.695361702082874	0.015519506684846678	-9.322772176323374
190000	-2352.196708414687	-15.35393595244712	-2336.8427724622397	1.0225562075832488	1.1133822198558638	0.9260591525370405	14.476045346431592	89.167009	74.6909636535684	3.6260321762890397	0.014223022077745355	-9.209642850793449
195000	-2352.6233709876183	-16.153827370998552	-2336.46954361662	1.0225562075832488	1.270943745136975	0.9285798965603792	14.742179744530045	89.167009	74.42482925546994	5.2980170759543705	0.014947266717536031	-9.357495958776953
200000	-2352.4550219628227	-16.17595621044701	-2336.2790657523756	1.1319972494630035	1.2239845044401025	0.922502387372573	14.371199933383904	89.167009	74.79580906661609	1.492074366344621	0.015344048796902127	-10.557804544158342
205000	-2359.5757946926137	-20.80295173779952	-2338.772842954814	0.8330605448459287	1.1611323527209603	0.7805648964250615	14.742886519891245	89.167009	74.42412248010875	22.40877184548432	0.01533350556412754	-13.189794910866112
210000	-2354.3836039771604	-17.015372350043283	-2337.368231627117	0.8526667319781882	1.295113087675296	0.846050752801044	14.622483278351215	89.167009	74.54452572164878	7.533982801177803	0.015083268327435829	-10.170712813268079
215000	-2353.256440684449	-14.506044449857447	-2338.7503962345913	0.9165036825452876	1.0243875008550287	0.8966531191880971	14.54400585202387	89.167009	74.62300314797612	2.9407711928641556	0.014838040443154801	-8.899912008193297
220000	-2352.536781542719	-14.622992174671003	-2337.913789368048	0.9711369515575754	1.2698809784961353	0.8635965406755519	14.557198253845304	89.167009	74.6098107461547	2.152363740678197	0.014817230623891647	-8.89396349893968
225000	-2353.867392804868	-15.606382071788477	-2338.2610107330793	0.9421310940369287	1.1048003242104285	0.844075583280175	14.886254692911946	89.167009	74.28075430708805	2.0034017308832994	0.014324112504460007	-10.294199534374318
